Metrics;Nom Dossier;Op‚ration;Date de commande;Oblig‚;Statut;Type;Taux r‚ussite;Ce que j'attends ou derniŠre action r‚alis‚e;DerniŠre action;Prochaine action;Prochaine action;Responsable;R“le Actif-incitatif;D‚but Travaux;Fin de Travaux; KwH Convention ;Montant ?/MwHc HT;Montant Total HT;Taux B‚n‚ficiaire (?/MwHc) HT;Taux B‚n‚ficiaire (?/MwHc) TTC;Montant B‚n‚ficiaire (TTC);Taux Apport d'affaire;Part Apport d'affaire;Taux Cameo;Part Cameo;Date Chiffrage;Date Validation;Mois de d‚p“t pr‚visionnel;Fiches;Commentaires;VR
CH Charcot;Charcot_Op‚ration2_Archipel_2;Isolation des toitures terrasses;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 9 424 800   ;3,5;32 987 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;5 655 ?;;;;;;
CH Charcot;Charcot_Op‚ration2_Archipel_3;Isolation des toitures terrasses;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 9 741 600   ;3,5;34 096 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;5 845 ?;;;;;;
CH Charcot;Charcot_Op‚ration3_Oasis_1;Isolation des murs par l'ext‚rieur;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 11 843 150   ;3,5;41 451 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;7 106 ?;;;;;;
CH Charcot;Charcot_Op‚ration3_Oasis_2;Isolation des toitures terrasses;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 3 061 080   ;3,5;10 714 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;1 837 ?;;;;;;
CH Charcot;Charcot_Op‚ration3_Oasis_3;Isolation des toitures terrasses;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 12 561 120   ;3,5;43 964 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;7 537 ?;;;;;;
CH Charcot;Charcot_Op‚ration4_Service technique_1;Fenˆtre;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 462 584   ;3,5;1 619 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;278 ?;;;;;;
CH Charcot;Charcot_Op‚ration4_Service technique_2;Isolation des murs par l'ext‚rieur;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 3 388 550   ;3,5;11 860 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;2 033 ?;;;;;;
CH Charcot;Charcot_Op‚ration4_Service technique_3;Isolation des toitures terrasses;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 1 029 600   ;3,5;3 604 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;618 ?;;;;;;
CH Charcot;Charcot_Op‚ration5_Saint Cyr l'‚cole (Gymnase)_1;Fenˆtre;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;21-nov.-14;Envoyer convention;Ti;;;; 694 511   ;3,5;2 431 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;417 ?;;;;;;
CH Charcot;Charcot_Op‚ration5_Saint Cyr l'‚cole (Gymnase)_2;Isolation des murs par l'ext‚rieur;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;21-nov.-14;Envoyer convention;Ti;;;; 2 925 560   ;3,5;10 239 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;1 755 ?;;;;;;
CH Charcot;Charcot_Op‚ration5_Saint Cyr l'‚cole (Gymnase)_3;Isolation des toitures terrasses;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;21-nov.-14;Envoyer convention;Ti;;;; 1 389 960   ;3,5;4 865 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;834 ?;;;;;;
CH Charcot;Charcot_Op‚ration6_USN_1;Fenˆtre;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 8 903 751   ;3,5;31 163 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;5 342 ?;;;;;;
CH Charcot;Charcot_Op‚ration6_USN_2;Isolation des murs par l'ext‚rieur;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 29 349 540   ;3,5;102 723 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;17 610 ?;;;;;;
CH Charcot;Charcot_Op‚ration6_USN_3;Isolation des toitures terrasses;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 12 660 120   ;3,5;44 310 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;7 596 ?;;;;;;
CH Charcot;Charcot_Op‚ration7_V120_1;Fenˆtre;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 4 545 872   ;3,5;15 911 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;2 728 ?;;;;;;
CH Charcot;Charcot_Op‚ration7_V120_2;Isolation des murs par l'ext‚rieur;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 1 992 870   ;3,5;6 975 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;1 196 ?;;;;;;
CH Charcot;Charcot_Op‚ration7_V120_3;Isolation des toitures terrasses;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 19 764 360   ;3,5;69 175 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;11 859 ?;;;;;;
CH Charcot;Charcot_Op‚ration7_V120_4;Isolation des murs par l'int‚rieur;;S;CCTP en cours de r‚daction;CH;2%;Chiffrage envoy‚ ;13-nov.-14;27-nov.-14;Demander validation pour ‚dition convention;Ti;;;; 1 610 400   ;3,5;5 636 ?;2,90 ?;;0,00 ?;0,00 ?;0,00 ?;0,6;966 ?;;;;;;
CH Charcot;Home isolation_Op‚ration10_Charcot_1&2_Pavillon Gris;Calo;2014;S;Convention sign‚e;CH;100%;Attente date de travaux;;06/01/2015;Planning des travaux avec Home Isolation;Ti;;26/05/2015;30/06/2015; 6 127 800   ;3,5;21447,3;2,50 ?;3,00 ?;18 383,40 ?;0,30 ?;1 838,34 ?;0,70 ?;4 289,46 ?;S 42 2014;;ao–t-15;"BAT-TH-06
BAT-TH-19";;
CH Charcot;Home isolation_Op‚ration10_Charcot_3&4_Pavillon Jaune;Calo;2014;S;Convention sign‚e;CH;100%;Attente date de travaux;;06/01/2015;Planning des travaux avec Home Isolation;Ti;;26/05/2015;30/06/2015; 7 321 200   ;3,5;25624,2;2,50 ?;3,00 ?;21 963,60 ?;0,30 ?;2 196,36 ?;0,70 ?;5 124,84 ?;S 42 2014;;ao–t-15;"BAT-TH-06
BAT-TH-19";;
CH Charcot;Home isolation_Op‚ration10_Charcot_5&6_Pavillon Vert;Calo;2014;S;Convention sign‚e;CH;100%;Attente date de travaux;;06/01/2015;Planning des travaux avec Home Isolation;Ti;;26/05/2015;30/06/2015; 7 384 200   ;3,5;25844,7;2,50 ?;3,00 ?;22 152,60 ?;0,30 ?;2 215,26 ?;0,70 ?;5 168,94 ?;S 42 2014;;ao–t-15;"BAT-TH-06
BAT-TH-19";;
CH Charcot;Home isolation_Op‚ration10_Charcot_7&8_Pavillon Central;Calo;2014;S;Convention sign‚e;CH;100%;Attente date de travaux;;06/01/2015;Planning des travaux avec Home Isolation;Ti;;26/05/2015;30/06/2015; 11 500 200   ;3,5;40250,7;2,70 ?;3,24 ?;37 260,65 ?;0,10 ?;1 150,02 ?;0,70 ?;8 050,14 ?;S 47 2014;;ao–t-15;"BAT-TH-06
BAT-TH-19";;
CH Charcot;Home isolation_Op‚ration10_Charcot_9&10&11&12_La Pommeraie, Pavillons 5,6,7&8 et A-B-H-G;Calo;2014;S;Convention sign‚e;CH;100%;Attente date de travaux;;06/01/2015;Planning des travaux avec Home Isolation;Ti;;26/05/2015;30/06/2015; 5 155 400   ;3,5;18043,9;2,70 ?;3,24 ?;16 703,50 ?;0,10 ?;515,54 ?;0,70 ?;3 608,78 ?;S 47 2014;;ao–t-15;"BAT-TH-06
BAT-TH-19";;
CH Charcot;Home isolation_Op‚ration 10_CHARCOT_13&14_Bƒtiment IVOIRE;Calo;2014;S;Convention sign‚e;CH;100%;Attente date de travaux;;06/01/2015;Planning des travaux avec Home Isolation;Ti;;26/05/2015;30/06/2015; 5 421 000   ;3,5;18973,5;2,70 ?;3,24 ?;17 564,04 ?;0,10 ?;542,10 ?;0,70 ?;3 794,70 ?;S 50 2014;;ao–t-15;"BAT-TH-06
BAT-TH-19";;
CH Charcot;Home isolation_Op‚ration 10_CHARCOT_15&16_Bƒtiment Accueil & Administration G‚n‚rale;Calo;2014;S;Convention sign‚e;CH;100%;Attente date de travaux;;06/01/2015;Planning des travaux avec Home Isolation;Ti;;26/05/2015;30/06/2015; 2 852 400   ;3,5;9983,4;2,70 ?;3,24 ?;9 241,78 ?;0,10 ?;285,24 ?;0,70 ?;1 996,68 ?;S 50 2014;;ao–t-15;"BAT-TH-06
BAT-TH-19";;
CH Charcot;Home isolation_Op‚ration 10_CHARCOT_17&18_Bƒtiments ATED Polyvalent & H‚bergement;Calo;2014;S;Convention sign‚e;CH;100%;Attente date de travaux;;06/01/2015;Planning des travaux avec Home Isolation;Ti;;26/05/2015;30/06/2015; 15 313 000   ;3,5;53595,5;2,70 ?;3,24 ?;49 614,12 ?;0,10 ?;1 531,30 ?;0,70 ?;10 719,10 ?;S 50 2014;;ao–t-15;"BAT-TH-06
BAT-TH-19";;
CBRE;CBRE_op‚ration1_147 avenue Paul Doumer;ChaudiŠre collective de type condensation ;2014;S;Fiche info pratique;IMMO;50%;Convention envoy‚e;;;Relance pour pr‚paration de la convention;Ti;;;; 5 175 126   ;3,5;18112,941;2,9;3,48;18009,43848;0;0;0,6;3105,0756;S 47 2014;S 48 2014;mai-15;;;
CBRE;CBRE_Op‚ration3;LED;2014;S;Fiche info pratique;IMMO;50%;Convention envoy‚e;12/01/2015;;Convention envoy‚e;Ti;;;15/02/2015; 767 000   ;3,5;2684,5;3;3,6;2761,2;0;0;0,5;383,5;S 50 2014;;avr-15;;;
CH Charcot;Home isolation_Op‚ration 27_HGMS Plaisir Grignan;Calo;2014;S;Devis sign‚;CH;20%;Convention … pr‚parer;;;;Ti;;;; 60 742 200   ;3,5;212597,7;2,7;3,24;196804,728;0,2;12148,44;0,5;30371,1;S 50 2014;;;;;
