Metrics;Nom Dossier;Op‚ration;Date de commande;Oblig‚;Statut;Type;Taux r‚ussite;Ce que j'attends ou derniŠre action r‚alis‚e;DerniŠre action;Prochaine action;Prochaine action;Responsable;R“le Actif-incitatif;D‚but Travaux;Fin de Travaux; KwH Convention ;Montant ?/MwHc HT;Montant Total HT;Taux B‚n‚ficiaire (?/MwHc) HT;Taux B‚n‚ficiaire (?/MwHc) TTC;Montant B‚n‚ficiaire (TTC);Taux Apport d'affaire;Part Apport d'affaire;Taux Cameo;Part Cameo;Date Chiffrage;Date Validation;Mois de d‚p“t pr‚visionnel;Fiches;Commentaires;VR
CH Martigues;CH Martigues_Op‚ration4_Bƒtiment Dialyse;;2014;S;Attente valid;CH;5%;Envoi des donn‚es n‚cessaires au chiffrage;13-nov.-14;;R‚union globale d'avancement;Ti;;1-avr.-15;;;3,50 ?;;3,00 ?;;0,00 ?;0,00 ?;0,00 ?;0,50 ?;0;En cours;;;;;
CH Martigues;CH Martigues11_Op‚ration3_Variateur;;2014;S;Attente valid;CH;5%;Attente doc technique;13-nov.-14;;Demande doc technique;Ti;;;; 171 100   ;3,50 ?;598,85 ?;3,00 ?;3,60 ?;615,96 ?;0,00 ?;0,00 ?;0,50 ?;85,55 ?;;;;BAT-TH-12;;
CH Martigues;CH Martigues_Op‚ration5_calorifugeage r‚seau les Rayettes;;2014;S;Chiffrage r‚alis‚;CH;5%;Donn‚es techniques recues;13-nov.-14;;Chiffrage … envoy‚;Ti-Bx;;;; 810 000   ;3,50 ?;2 835,00 ?;3,00 ?;3,60 ?;2 916,00 ?;0,00 ?;0,00 ?;0,50 ?;405,00 ?;;;;BAT-TH-06;;
CH Meaux;CH Meaux_Op‚ration2_HP flottante ;;2014;A;AFT;CH;100%;Benoit Balenghien a envoy‚ les AFT le 5/12/2014/ En attente des AH de younes (TRANE);25-f‚vr.-15;10-mars-15;Relancer Younes puis eventuellement demander derniere situation … Balenghien;Ti;4-nov.-13;;; 6 217 200   ;3,30 ?;20 516,76 ?;2,50 ?;3,00 ?;18 651,60 ?;0,00 ?;0,00 ?;0,80 ?;4 973,76 ?;S 43 2013; S 45 2013;mars-15;IND-UT-16;;X
CH Meaux;CH Meaux_LED;;;A;PERDU;CH;0%;Faire horodatage;1-mars-14;;;Ti;;Mi Avril;; 413 000   ;3,30 ?;1 362,90 ?;2,50 ?;3,00 ?;1 239,00 ?;;;0,80 ?;330,40 ?;S 09 2014;S 11 2014;;BAT-EQ-27;;
CH Meaux;CH Meaux_Op‚ration3_Isolation toiture terrasse2;;2014;S;Convention (rattrapage);CH;100%;Convention envoy‚ le 02/03/2015;2-mars-15;10-mars-15;Pr‚parer AFT;Ti;;;15-mars-15; 9 187 200   ;3,50 ?;32 155,20 ?;2,70 ?;;0,00 ?;0,00 ?;0,00 ?;0,80 ?;7 349,76 ?;;S 48 2014;juin-15;BAT-EN-07;;
CH Montargis;CH Montargis_Isolation terrasse;;;S;PERDU;CH;0%;Eu chikky au tel, va voir avec la direction si validation des travaux./ Relanc‚ par mail;14-oct.-14;;Appeler directement la responsable Romanelli;Ti;;1-oct.-14;; 780 120   ;3,50 ?;2 730,42 ?;;0,00 ?;0,00 ?;0,00 ?;0,00 ?;;0,00 ?;S 18 2014;;;;;
CH Montb‚liard;CH Montb‚liard_Bƒtiment B_Comble_4;;2014;S;Attente validation client;CH;5%;Mail re‡u le 13/11/2014 : il ne sait pas quand les travaux auront lieu;13-nov.-14;13-d‚c.-14;Relancer validation;Ti;;;; 1 839 000   ;3,50 ?;6 436,50 ?;2,70 ?;3,24 ?;5 958,36 ?;;;0,80 ?;1 471,20 ?;;;;BAT-EN-01;;
CH Montb‚liard;CH Montb‚liard_HP flottante_2;;2014;S;Travaux termin‚s;CH;5%;Ortiz confirme fin de travaux, cherche les P ‚lec moteur;13-nov.-14;13-d‚c.-14;Pr‚parer convention Siplec et demander fin des travaux;Ti;;Fin avril;D‚but juin (‡a a pris du retard); 451 440   ;3,50 ?;1 580,04 ?;2,50 ?;3,00 ?;1 354,32 ?;;;1,00 ?;451,44 ?;;;;IND-UT-16;;
CH Montb‚liard;CH Montb‚liard_Maison Jolie_Comble_3;;2014;S;Attente validation client;CH;5%;Mail re‡u le 13/11/2014 : il ne sait pas quand les travaux auront lieu;13-nov.-14;13-d‚c.-14;Relancer validation;Ti;;1-sept.-14;1-oct.-14; 11 704 000   ;3,50 ?;40 964,00 ?;2,70 ?;3,24 ?;37 920,96 ?;;;0,80 ?;9 363,20 ?;;;;BAT-EN-01;;
